Unnamed: 0,TweetID,Tweet,Score,Cleaned_tweet,Normalized_score,My_score,Logits
6267,909256265846714369,<USER> A mental case like the rest of us,2.1666666666666665,A mental case like the rest of us,0.2916666666666666,0.618703994760531,1.832502007484436
6268,289985270932197376,<USER> Sweetie u & the band truly are in deserving of it ! ,2.6666666666666665,Sweetie u  the band truly are in deserving of it !,0.4166666666666666,0.9765034488538996,6.166227340698242
6269,289989243453972480,"<USER> I might do that , kind sir : - ) ",1.8333333333333333,"I might do that , kind sir",0.2083333333333333,0.7457076670894708,3.37079119682312
6270,9374307686,#Quinnipiac #Bobcats ( 18-8 ) at #RobertMorris #Colonials ( 19-9 ) <URL> #Twackle This is the game breakdown for those that care . ,3.1666666666666665,Quinnipiac Bobcats  188  at RobertMorris Colonials  199   Twackle This is the game breakdown for those that care .,0.5416666666666666,0.9881794242575906,6.307648658752441
6271,646842126769061888,<USER> Who is voting <USER> atop AP poll when 'O' is 1-dimensional and could be called 1-manned ? #overrated,3.1666666666666665,Who is voting  atop AP poll when O is 1dimensional and could be called 1manned ? overrated,0.5416666666666666,0.9842625384693788,6.260206699371338
6272,878310650338037760,<USER> Lol Zoey 's request for breakfast is normally pancakes cut up with syrup but on the side,3.6666666666666665,Lol Zoey s request for breakfast is normally pancakes cut up with syrup but on the side,0.6666666666666666,0.9299511157945577,5.602377891540527
6273,248426561257230336,Dentist at 2 : 15 I do n't wanna go : ( ,2.833333333333333,Dentist at 2  15 I do nt wanna go,0.4583333333333332,0.9769185498534766,6.171255111694336
6274,623197833085255680,<USER> Thanks for the follow ! ,2.0,Thanks for the follow !,0.25,0.6602473709056167,2.3356821537017822
6278,389564887212380160,<USER> DETAILS ABOUT #ARTRAVE PLEASE #ARTPOPquestion BIGGEST PARTY OF THE YEAR . ,2.6666666666666665,DETAILS ABOUT ARTRAVE PLEASE ARTPOPquestion BIGGEST PARTY OF THE YEAR .,0.4166666666666666,0.9251253698321964,5.5439276695251465
6279,370552800922447872,<USER> #APPLAUSE requests for today 's #OPERATIONAPPLAUSE 8/15 : San Diego/Phoenix ! #techHAUS #swinefest <URL>,2.6666666666666665,APPLAUSE requests for today s OPERATIONAPPLAUSE 815  San DiegoPhoenix ! techHAUS swinefest,0.4166666666666666,0.9756769868580615,6.156217098236084
6281,201848803102433282,Hmmm maybe should have put sunscreen on . #friedlikeatomatoe,1.8333333333333333,Hmmm maybe should have put sunscreen on . friedlikeatomatoe,0.2083333333333333,0.9900348595866935,6.330121994018555
6282,943516344640778241,I still have a fever but I'm going to have to go to work . ,2.5,I still have a fever but Im going to have to go to work .,0.375,0.41563709460480114,-0.6270774006843567
6283,943743262443098113,Y'ALL JUST WON'T GET ENOUGH HUH <URL>,1.1666666666666667,YALL JUST WONT GET ENOUGH HUH,0.0416666666666666,0.9243892584427721,5.5350117683410645
6284,711074476079898624,Gonna twitch some Star Citizen for a bit . <URL>,2.4,Gonna twitch some Star Citizen for a bit .,0.35,0.9913461834860587,6.346004962921143
6285,567088990093070336,<USER> they look like TRONsformers ! ,1.6666666666666667,they look like TRONsformers !,0.1666666666666666,0.8328717316258657,4.426536560058594
6290,265245324023578624,"<USER> political socialization , polls , motor voting , & I think I can do the political party question & maybe bs media & politics",3.0,"political socialization , polls , motor voting ,  I think I can do the political party question  maybe bs media  politics",0.5,0.9632050993803524,6.005155563354492
6291,543424466047729664,I secretly enjoy power rangers just as much as phoenix does ! <USER> #90smom,3.4285714285714284,I secretly enjoy power rangers just as much as phoenix does !  90smom,0.6071428571428571,0.8930242914790087,5.15511417388916
6292,585075818935750658,Awe Damn The Nigga Is Real Dont Go To Sleep <URL>,1.5714285714285714,Awe Damn The Nigga Is Real Dont Go To Sleep,0.1428571428571428,0.9846881902151514,6.26536226272583
6293,536777915690532864,<USER> how do i get my pin for my paycard,2.4285714285714284,how do i get my pin for my paycard,0.3571428571428571,0.7333001273530182,3.2205090522766113
6294,147675299767787520,want to start your own business in 2011 ? look at this - <URL>,1.7142857142857142,want to start your own business in 2011 ? look at this,0.1785714285714285,0.2865463183466414,-2.190645933151245
